From,To,Text,Action,Sentiment,Issue,Institution,Response
Argentina,Antigua & Barbuda,"Continue with the efforts to prevent, punish and eradicate all forms of violence against women",continue,2,Women's rights,,support
Australia,Antigua & Barbuda,"Accede to the Second Optional Protocol to the International Covenant on Civil and Political Rights, aimed at abolishing the death penalty, and take all necessary steps to remove the death penalty from Antigua and Barbuda law",accede,5,"Death penalty,International instruments","ICCPR, OP",reject
Australia,Antigua & Barbuda,Improve conditions in Antigua and Barbuda's prisons and detention facilities,,4,Detention,,support
