Latitude,Country,Longitude,Capital
12¡48'S,Mayotte,45¡14'E,Mamoudzou
19¡20'N,Mexico,99¡10'W,Mexico
06¡55'N,Micronesia (Federated States of),158¡09'E,Palikir
47¡02'N,"Moldova, Republic of",28¡50'E,Chisinau
25¡58'S,Mozambique,32¡32'E,Maputo
16¡45'N,Myanmar,96¡20'E,Yangon
22¡35'S,Namibia,17¡04'E,Windhoek
27¡45'N,Nepal,85¡20'E,Kathmandu
52¡23'N,Netherlands,04¡54'E,Amsterdam/The Hague (seat of Gvnt)
12¡05'N,Netherlands Antilles,69¡00'W,Willemstad
22¡17'S,New Caledonia,166¡30'E,Noumea
41¡19'S,New Zealand,174¡46'E,Wellington
12¡06'N,Nicaragua,86¡20'W,Managua
13¡27'N,Niger,02¡06'E,Niamey
09¡05'N,Nigeria,07¡32'E,Abuja
45¡20'S,Norfolk Island,168¡43'E,Kingston
15¡12'N,Northern Mariana Islands,145¡45'E,Saipan
59¡55'N,Norway,10¡45'E,Oslo
23¡37'N,Oman,58¡36'E,Masqat
33¡40'N,Pakistan,73¡10'E,Islamabad
07¡20'N,Palau,134¡28'E,Koror
09¡00'N,Panama,79¡25'W,Panama
09¡24'S,Papua New Guinea,147¡08'E,Port Moresby
25¡10'S,Paraguay,57¡30'W,Asuncion
12¡00'S,Peru,77¡00'W,Lima
14¡40'N,Philippines,121¡03'E,Manila
52¡13'N,Poland,21¡00'E,Warsaw
38¡42'N,Portugal,09¡10'W,Lisbon
18¡28'N,Puerto Rico,66¡07'W,San Juan
25¡15'N,Qatar,51¡35'E,Doha
37¡31'N,Republic of Korea,126¡58'E,Seoul
44¡27'N,Romania,26¡10'E,Bucuresti
55¡45'N,Russian Federation,37¡35'E,Moskva
01¡59'S,Rawanda,30¡04'E,Kigali
17¡17'N,Saint Kitts and Nevis,62¡43'W,Basseterre
14¡02'N,Saint Lucia,60¡58'W,Castries
46¡46'N,Saint Pierre and Miquelon,56¡12'W,Saint-Pierre
13¡10'N,Saint vincent and the Grenadines,61¡10'W,Kingstown
13¡50'S,Samoa,171¡50'W,Apia
43¡55'N,San Marino,12¡30'E,San Marino
00¡10'N,Sao Tome and Principe,06¡39'E,Sao Tome
24¡41'N,Saudi Arabia,46¡42'E,Riyadh
14¡34'N,Senegal,17¡29'W,Dakar
08¡30'N,Sierra Leone,13¡17'W,Freetown
48¡10'N,Slovakia,17¡07'E,Bratislava
46¡04'N,Slovenia,14¡33'E,Ljubljana
09¡27'S,Solomon Islands,159¡57'E,Honiara
02¡02'N,Somalia,45¡25'E,Mogadishu
25¡44'S,South Africa,28¡12'E,Pretoria (adm.) / Cap Town (Legislative) / Bloemfontein (Judicial)
40¡25'N,Spain,03¡45'W,Madrid
15¡31'N,Sudan,32¡35'E,Khartoum
05¡50'N,Suriname,55¡10'W,Paramaribo
26¡18'S,Swaziland,31¡06'E,Mbabane (Adm.)
59¡20'N,Sweden,18¡03'E,Stockholm
46¡57'N,Switzerland,07¡28'E,Bern
33¡30'N,Syrian Arab Republic,36¡18'E,Damascus
38¡33'N,Tajikistan,68¡48'E,Dushanbe
13¡45'N,Thailand,100¡35'E,Bangkok
42¡01'N,The Former Yugoslav Republic of Macedonia,21¡26'E,Skopje
06¡09'N,Togo,01¡20'E,Lome
21¡10'S,Tonga,174¡00'W,Nuku'alofa
36¡50'N,Tunisia,10¡11'E,Tunis
39¡57'N,Turkey,32¡54'E,Ankara
38¡00'N,Turkmenistan,57¡50'E,Ashgabat
08¡31'S,Tuvalu,179¡13'E,Funafuti
00¡20'N,Uganda,32¡30'E,Kampala
50¡30'N,Ukraine,30¡28'E,Kiev (Rus)
24¡28'N,United Arab Emirates,54¡22'E,Abu Dhabi
51¡36'N,United Kingdom of Great Britain and Northern Ireland,00¡05'W,London
06¡08'S,United Republic of Tanzania,35¡45'E,Dodoma
39¡91'N,United States of America,77¡02'W,Washington DC
18¡21'N,United States of Virgin Islands,64¡56'W,Charlotte Amalie
34¡50'S,Uruguay,56¡11'W,Montevideo
41¡20'N,Uzbekistan,69¡10'E,Tashkent
17¡45'S,Vanuatu,168¡18'E,Port-Vila
10¡30'N,Venezuela,66¡55'W,Caracas
21¡05'N,Viet Nam,105¡55'E,Hanoi
44¡50'N,Yugoslavia,20¡37'E,Belgrade
15¡28'S,Zambia,28¡16'E,Lusaka
17¡43'S,Zimbabwe,31¡02'E,Harare
